Name,step-1,step-2,step-3,step-4,step-5,step-6,step-7,step-8,step-9,step-10,step-11,step-12,step-13,step-14,step-15,step-16,step-17,step-18,step-19,step-20,step-21,step-22,step-23,step-24,step-25,step-26,step-27,step-28,step-29,step-30,step-31,step-32,step-33,step-34,step-35,step-36,step-37,step-38,step-39,step-40,step-41,step-42,step-43,step-44,step-45
Brazilian Empadinhas,",",Stir and shake pan constantly for 2-3 minutes more until vegetables just start to become aromatic,Brush tops with egg yolk Bake in preheated 350 F oven for 30 to  35 minutes or until golden brown,Stir in rest of the ingredients and knead to  combine or just process everything until it forms a ball,"Cook 1 hour, uncovered over low heat","tomatoes, broth  , seasonings ,shrimp and cook",Pat dough out to about 1/2 in thick and cut with cutter,Mash bananas and set aside,In (1 1/2-qt,Put all into crock pot and cook on low 10-12 hours or on high 4-6 hours,of the cold filling into the lined  tins,Make a broth with the shells  and heads and 2 cups water,Add Parmesan cheese and warm until cheese melts,Strain broth  and cook it down to 1/2 cup,Pour over chicken,"Add cream to egg yolks, then add a bit of soup and mix well",Cook onions and garlic in olive oil until they  start changing color,Place 2 tsp,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braised Brussels Sprouts With Vinegar and Dill,"Add the remaining half and half, cheese and next 5 ingredients, stirring with a whisk","In well-greased 13x9-inch casserole, combine sprouts, dill, vinegar, and salt and pepper to taste",mix well,"when the shrimp curl, they are done","Drain, refresh under cold running water and drain again","In large pot of boiling salted water, cook Brussels sprouts for 8 minutes if whole, 6 minutes if halved, or until barely tender",Drain vegetables and place into one container,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheesy Scalloped Potato Side Dish,"Layer potatoes, flour, milk, and salt and pepper (if desired) in a large casserole dish in several layers, then top with cheeses and paprika",Put onto a greased baking tray,Add shrimp the last 20 minutes of cooking,Preparation time allows for peeling and slicing potatoes,Bake at 350°F for 1 1/2 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheeseburger Casserole,Add oil if needed,Bake for 10-15 minutes longer,"Add the beans, parsley, and dill",Bake for 10 minutes at 425°F,Combine ground beef and flour in skillet,"Add tomato sauce, ketchup, salt and pepper",Cover the chicken with the melted margarine/butter (I use liquid spray butter),Saute onion and celery in butter in saucepan over medium heat until tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butterflied Lamb with Garlic Butter,"In the meantime, brown the ground beef and drain excess grease",Pre heat oven 350 degrees salt and pepper beef roast place it in a baking dish (I put mine in a Bean Pot) pour the soup and the Coke over roast,Slice lamb and serve with the  vegetables,"Drain the excess juices from the pan, bake potatoes and onions in a very hot  oven another 15 minutes or until crisp","Open lamb out flat, place the fat-side down on a board",Cook bacon in medium saucepan over medium heat until crisp,"Combine herbs, rind, garlic,  pepper and butter in a small bowl",Stir in garlic and sugar and cook 5 minutes longer,Place the potatoes and onions in a large  roasting dish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Breasts Saltimbocca,"Combine egg, milk and salad oil",Pound chicken breast halves until thin between  two sheets of waxed paper or  foil,"40 minutes, or until custard is set and top is crusty","In a large skillet, heat oil  over medium heat","In a small bowl, dissolve cornstarch in water","Stir in sugar, juice, ginger, and rind","With a small spatula or a butter spreader, spread thinly over the cooled cookies","Add evaporated milk, ham, cheese, mustard, hot sauce and eggs and stir to mix well",Cook on low heat for 3 hours,Place browned chicken in a slow cooker,Cover and cook on HIGH 10 minutes,Combine soup and wine and pour  over chicken rolls,Place a slice of ham and cheese on each chicken piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueberry Scones,"Turn out onto a lightly floured surface, and knead a few times to mix well",Cut squares in half on the diagonal to form eight triangles,Immediately take the pan off the heat and dash in the vinegar,"Dissolve 2 tablespoons masa into 1/4 cup hot water to make a thick, but flowable mixture",Pat dough into a 6-inch square about 1 1/4 inches thick,Putting it together: Heat oven to 400F degrees,Brush tops with cream and sprinkle with sugar,Transfer scones from baking sheet to wire racks to cool,Sprinkle on desired seasoning,Stir in blueberries and zest,Place bread into 13x9x2\,"Using a floured knife, cut into four 3-inch squares","Add chili, and/or red chili powder, and cilantro, stir-frying an additional 2 minutes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Tomatoes on Provolone Garlic Bread,"Cover bowl and let tomatoes marinate at room temperature for at least 1 hour, but preferably 3-4 hours",Heat milk until hot but not boiling,"Just before serving, heat up broiler again and toast cheese until bubbly","Put the onion, tomato, mushrooms, and hot mustard on one side of the bun","For the bread, combine olive oil and garlic and let mixture stand for about 10 minutes so flavors can mingle",Brush one side of each bread slice with garlic and olive oil mixture and broil them oiled-side up until lightly browned,Add tomato and parsley and cook covered for 1 minute,"Cut the potatoes, with their skins, into ½-inch dice","For the tomatoes, mix tomatoes, scallions, parsley, rosemary, garlic, olive oil and vinegar in a shallow bowl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Cucumber Soup,place in a blender with remaining ingredients,"Spread mixture into a 13 x 9 inch baking dish, top with remaining sauce and sprinkle with remaining cheeses","(If you use Italian sausage, the longer you cook it, the hotter it gets)",pour into bowl,Puree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Curry,) for 45 minutes,"Serve with  basmati rice, and garnish with cashews",Fold in chocolate chips,"Reduce heat, and add ginger, garlic, and onions","Reduce heat to low, and stir in yogurt and  raisins","Transfer to spice grinder, add  crushed red-pepper flakes, and grind to a powder",Spread 2 cups of the brownie mixture in prepared pan,"Mix salad dressing, herb and seasonings in a large bowl",Cook until warmed throughout,Pour yeast and water in large bowl,"In a dry skillet over medium heat, toast coriander and cumin  seeds until fragrant, 1 to 2 minutes",cook for 10 minutes,"Cook until  softened and deep-brown in color, 8 to 10 minutes",Measure 1/2 cup of mix into a sandwich bag,Place onto wax paper to cool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appetizers-Easy Stuffed Mushrooms,"Slice tomatoes about 1/4 inch thick, season with salt and pepper and then coat both sides with cornmeal","Stir in the bread crumbs, Worcestershire Sauce and seasonings",Mound the stuffing onto the mushroom caps,"Continue sautéing, adding more liquid as necessary",Remove and chop the stems,Arrange caps on a greased baking sheet,Transfer half of the marinade mixture to another bowl and reserve for basting catfish,cook and stir over high heat until mixture is reduced by two-thirds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anzac Biscuits,"Cook for 15 minutes, stirring frequently",Bake at 150 - 160 C (300-325F) for 20 minutes,Bake at 350°F for 20-25 minutes,Mix the bicarb with boiling water and add to butter and syrup mixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coconut Chicken Bites,"Add onion, salt, pepper, Worcestershire sauce, and sugar",remove and place on rack to cool,Cream margarine and sugar together at medium speed until light and fluffy,Turn once during cooking,Heat oven to 400°F,Saute onion,"Mix flour, coconut, salt, pepper and garlic powder together",Bake approximately 25 minutes or until the chicken is browned and cooked through,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken-Fried Steak With Cracked Pepper Gravy,Roll from wide end to the point,Pre-heat cooking oil to 350 degrees,"Prepare the flour spice by blending the flour, salt, pepper, and cayenne",Bring to boil,Serve with tortilla chips or anything of your choice,"Slowly add the milk, continuing to whisk to  keep lumps from forming","Form mixture into ball, knead till mixture clings together","Melt the butter in a bowl over a pan of hot water, and add all the other ingredients except the vanilla","To make the hot chocolate spoon a 1/4 cup of chocolate mix into a mug, add 1/2 cup of hot milk, stir and enjoy",CREAM GRAVY Melt the butter in a heavy saucepan,Hold the cooked steaks in a 225 degree oven until all four are done,Set aside,"Add the cream, and beer","Turn in, taking care not to break  the coating, and cook the meat 5 more minutes, or until the batter is nicely browned","Continually whisk until the flour cooks, becoming a fragrant light brown","In an 8-inch nonstick skillet, saute mushrooms and zucchini in 2 tablespoons butter until tender",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classic Cream Scones,turn,Lightly butter a baking sheet,Bake for another 10 minutes,"In a small bowl, stir   together the cream, egg, and vanilla",Stir in corn muffin mix,Spread over bread and bake 15 minutes,Makes about 14 scones,"With lightly floured hands, pat the dough into a 1/2-inch thickness on a   lightly floured cutting board","Divide this mixture into 4-6 soup bowls, fill with hot soup, and garnish with chopped cilantro",Spread barbecue sauce on four slices of bread,Preheat oven to 425F,"In a large bowl, stir together the flour, sugar, baking powder, and salt",Remove the baking sheet to a wire rack and cool for 5 minutes,"Simmer for 10 minutes, stirring occasionally",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clam - Lobster Bake,"Serve clambake with plenty of melted butter, lemons, and watermelon",in an oven proof casserole dish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrus Glazed Barbecued Pork Loin,Add cracked black pepper and deglaze with Worcestershire sauce and orange juice,Remove the crumb mixture and let cool,reduce until starts to thicken,"(Overnight is best) Before serving add feta, tomatoes and green peppers",Preheat oven to 350 degrees,In a small saucepot add canola oil and saute onions and garlic until translucent,Beat in egg,"then turn the slices again and cook until they are done, but not mushy",Remove from oven and let meat set for about 5 minutes,"Turn out, slice and fry until brown in a bit of butter or oil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrus Chicken,"Drain chicken, reserving marinade",Place chicken in plastic bag set in shallow dish,Rinse chicken,"Meanwhile, in a large bowl, toss the zucchini with the olive oil and crushed red pepper","Stir in broth, potatoes, lima beans, corn and bell pepper",Bake 20- 25 minutes until golden brown,Sprinkle with salt and pepper,"Or, broil on unheated rack of broiler pan 4 to 5 inches from heat 12 to 15 minutes, turning once and  brushing occasionally with marinade during first half of cooking",Dump in flour all at once and beat until mixture comes together in a ball,"Grill chicken on rack of uncovered grill directly over medium coals  12 to 15 minutes or until tender and no longer pink inside, turning once and brushing  occasionally with marinade during first half of cooking","Place Onion, mushrooms, Potato/pasta and Avacodo into bowl and toss gently and thoroughly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Plum Sauce,"Bring to boil, stirring","Add flour, chili powder, oregano, salt, and pepper to the large plastic bag",Salt and pepper to taste,"In large heavy saucepan, bring plums, onions, water, ginger and garlic to boil over medium heat",Fill and seal jars,"In medium skillet, crumble and cook the sausage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Cranberry Salad,chill overnight,Stir in food coloring and chocolate chips,Chill until ready to serve,"Trim fat from roast, sprinkle with salt and pepper, and set aside",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Giblets or Livers,"Serve with baby potatoes, creamed peas and a salad",Stir mixture occasionally,"If you are cooking giblets only, a little water may be added if necessary",Add the chopped onion and garlic,Fry the giblets and/or livers in the olive oil until brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee's Hot Crab Dip,remove outer leaves and tough part of stalks,Remove cartilage from crab meat,Fold crab meat into cream cheese mixture,Stir in 2 tablespoons of the grated cheese,Boil the potatoes,Top with remaining cheese and paprika,"With a potato masher, mash until smooth, do not use an electric mixer, blend in cream cheese and butter until melted","Stir until thick, then add the vanilla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grilled Avocado Toast,Spoon 1/4 of the cream cheese mixture over each loaf,Brush  each slice with oil,Place on a cookie sheet,Return  to broiler for 5 to 10 minutes until avocados begin to blister and brown,"Brush with egg, place on a lightly greased pie pan and bake for 20 minutes",Combine all ingredients in a slow cooker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thai Chicken Curry,Simmer 15 minutes,Add remaining ingredients,"Combine cocnut milk, potatoes, nam pla, curry powder, and cloves",Stir  occasionally,Add 1 cup of the white chocolate chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thai Chicken Noodles,"In a wok, heat 1 tablespoon oil and fry chilies 1 minute, until aroma mellows",Combine all ingredients in a sauce pan and simmer on low heat for 30 minutes,"Just before serving, add dressing a few spoonfuls at a time until salad appears moist enough",mix well and continue cooking for 10 minutes longer,Boil rice vermicelli noodles 2 minutes,Add bean sprouts and basil,Heat oil in heavy large pot over medium-high heat,"drain, reserving oil",Cream the butter till fluffy,Cover with Chinese noodles,toss with garlic oil,"add tomato paste, 2 tablespoons sugar, and nam pla","Braise the onion, bell peppers and garlic in water until onion is clear, then add remaining ingredients, including TVP",heat through,Pour into a 1 1/2 quart casserole that has been sprayed with cooking spray,Drop by 1/2 teaspoonfuls 3 inches apart onto aluminum foil-lined cookie sheets,Add shrimp,"Add chicken and wine, and sliced Chinese mushrooms",,,,,,,,,,,,,,,,,,,,,,,,,,,
Twice-Baked Potatoes (Microwave),Heat oil in heavy skillet (oven proof),"Bring heat to medium-high, bring mixture to a boil, stirring occasionally, and boil until it caramelizes and reaches 300 on a candy thermometer","Add milk, salt and pepper",Pierce well-scrubbed potatoes twice,Bake at 375° for 10 minutes or until edges are firm,Scoop out center,Mix well,"In a small saucepan stir together the sugar, cornstarch, and cinnamon",Add milk and return to microwave and heat until mixture is warm (not too hot or else eggs will cook when you add them),Place bacon on paper towel lined plate,"Add a little more oil to the wok if needed and stir fry the scallions for a few seconds, then add the mushrooms& cabbage",mash until fluffy,"Microwave at HIGH 3 to 7 minutes, or until heated, rotating 1/2 turn",Place 1 inch apart on paper towel in microwave oven,Pre heat the oven at 400 degrees,"Microwave at HIGH 1-1/2 to 2 minutes, or until butter is melted and onion is tender","Let stand, covered with a bowl, for 5 minutes","Microwave at HIGH 5 to 6 minutes, or until crisp",Preheat oven to 350 degrees,,,,,,,,,,,,,,,,,,,,,,,,,,
Twice Baked Potatoes,Bake for 30 minutes until puffed and brown,"In a small saucepan, combine rhubarb and sugar","Note: make sure you pick any stems off the cranberries before chopping those, or they could be yucky",Cut the tops off of each pepper and set aside,Mash until almost smooth,Place shells on cookie sheet,"Add egg, half of cheese,salt, pepper and nutmeg",prick several times with a fork,Reduce oven heat to 350 degrees Fahrenheit,Transfer to a 3 qt baking dish coated with non stick spray,Pour over potato pulp and mash or beat until almost smooth,"In a food processor, purée the basil leaves, garlic, pine nuts, salt and cheese until smooth","In a large mixing bowl, stir together the flour, baking powder, baking soda, and cinnamon","In a mixing bowl, combine 1 cup cheese, milk, egg, tortillas, chilies, salsa and salt",Melt butter,Serve ladled over cooked white rice,bake 50 to 60 minutes until potatoes feel soft when squeezed,Save the best 8 shells,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greek Spinach Triangles,"* To cut calories, you can use butter-flavored cooking spray in place of the  butter",baking dish,Refrigerate mixture at least 1 hour,"Mix spinach, eggs, onion, cream cheese, pepper and feta cheese together",Sprinkle with cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Jimmy Pillows,"After everything is combined, drop 1 large tablespoon per  serving onto ungreased cookie sheet, and bake at 425 degrees for 12 to 15  minutes or until golden brown",Remove pork mixture from the head and add yogurt mixture,The reason for letting the flour mixture cool is so that it  doesn't cook  the eggs,Combine beaten eggs and flour mixture thoroughly,1/2 hour is just as good,Fold in sour cream,While that is cooling beat eggs to a fluffy  consistency,"In a heavy skillet, heat oil and butter and sauté chicken over medium heat for 6-8 minutes turning once, adding more oil if necessary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homemade Butter,TO SERVE: Crumble a handful of either tortilla chips or Doritos in individual serving bowls and cover with a generous helping of stew,) Add remaining sauce ingredients,"While holding the ruler, grab the end of the top  layer of wax paper and slowly pull it toward you",Cover and chill,Sprinkle brown sugar and cinnamon mixture over batter and swirl with knife,"Put the butter in a bowl, cover, and  chill for at least 1 hour before using",Roll the paper around the log and chill,Place the bowl and blade of a food processor into the freezer to chill  for 4 to 5 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homemade Butter II,Refrigerate butter in a  covered container,No harm will be  done if you overwhip this  mixture,"Whisk smooth, cool to room temperature and set aside until you are ready tpo use it",Cook for 3 minutes,"With a rubber spatula,  gently press butter against sieve to remove excess  moisture",Add the brown sugar and the remaining maple syrup,Turn into a well-buttered 9-by-i3 inch baking dish,Add water and ice cubes,This makes 1/3 cup butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fish Chowder,Add fish and cook 10 minutes longer,Fill muffing tins almost all the way full,"In the meantime, toast the holes from the bread for dipping in the yolk",Cut cod fillets into bite sized pieces,Cover and keep warm,Melt margarine in large saucepan Cook  onion and celery until onion is tender and translucent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheesy Stuffed Acorn Squash,Rub the cut flesh  with salt and place flesh side down in a baking dish and bake for about 35  minutes,Pour into 2 qt baking dish then put the dish in a shallow pan of hot water,Add peas for last 3 minutes of cooking,"Cover and cook, stirring frequently, 12 minutes  or until elbow macaroni is tender",Check baking squash with a fork to see if  it glides through the flesh,"While the squash is baking, sauté onion in butter until clear and add  chopped broccoli florets, mushrooms and celery",Stir into the liver mixture and bring to just boiling,"Stir in  walnuts and fresh basil, then sprinkle with brown sugar and soy sauce, adjust  seasoning to taste",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oktoberfest Spinach Strudel,Add sweet red pepper and green onions,Work quickly so that phyllo does not dry out,Cut each roll into six pieces,Cool completely,Cover with another damp towel while repeating process with last two phyllo sheets and remaining spinach mixture,fold in green onion and cilantro just before serving,Place  two phyllo sheets on a damp towel on work surface,Continue rubbing until the entire clove of garlic has been rubbed into the toast,The skin will be a uniform black-brown and the inside will be soft,Cook for 2 minutes,Cook spinach  according to package directions,Spread half of spinach mixture along (about 1-inch inside) narrow edge of phyllo and roll up jelly-roll-style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinach Phyllo Casserole,Top the casserole with one piece of phyllo pastry,Saute onions in chicken broth until broth has  evaporated,Cut sheets of  phyllo pastry in half,Pour the mousse into wine glasses or other serving glasses and top with Cool Whip and a maraschino cherry,Dip into the crumb mixture,Brush biscuits with garlic butter after they come out of oven,Blend in cheese until melted,Mix all the seasoning mix ingredients in a food processor and set aside,Stir flour into milk until dissolved,Add to onions and stir  constantly over medium heat until thickened,cream butter,Add remaining ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potatoes Tapas in Garlic Mayonnaise (Potatoes Aioli),Boil potatoes in salt water until tender,"Fold the potatoes into the sauce gently, season with salt to taste, serve  at room temperature",Store in the refrigerator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home-Style Meatballs (Albondigas Caseras),"With a sharp, heavy knife (or serrated knife) cut the stack in half, then into quarters, then into eighths",Layer half the potatoes in a greased 11x7 inch casserole dish,"In a bowl, combine the beef, veal, and pork with bread crumbs, 4 cloves of  garlic, the eggs, nutmeg, salt, and pepper",Form into cocktail-size  meatballs,"Add onion, remaining clove of  garlic, and green pepper",Gently fold in cooked fettudcine and serve,Cover and simmer for 45 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zucchini Frittatas II,Serve immediately from the pan or transfer to a large round plate or platter,"Cook 10 to 15 minutes, until set","Add garlic, onions, tomato, green onion, cumin, and chili powder",Preheat the oven to 325 degrees F,Sprinkle grated cheese on top of frittata if desired and broil  briefly until lightly browned,Season with salt and pepper and remove  from heat,Pour batter into greased bundt or tube pan,Heat 1/2 Tbsp,Gradually add milk and stir until thickened,Cook on low for 9-10 hours,"oil in a 10-inch, heavy-bottomed, oven-proof skillet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow Squash Frittata,Baste with the same bbq used in the mix when burgers are halfway done,Cool on a wire rack,Pour egg mixture over squash,Cook until eggs are cooked and puffy,Slice squash into equal sized rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spaetzle - German,Beat eggs well,Let stand 1/2 hour,add remaining ingredients and beat until the dough  blisters,Toss with melted butter,Cook for 5 minutes stirring often,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moussaka,"**Note:This cake can also be prepared as a layer cake by baking in two 9-inch cake pans, spreading a thin layer of frosting between layers, then frosting outside of cake","Put into a LIGHTLY greased large bowl, cover and place in a warm spot for around 1 1/2 to 2 hours","Dredge the eggplant in 1 1/2 cups flour, and saute each in olive oil until it is  brown on both sides",Boil in lightly salted water until tender,beat on low speed for 2 minutes (mixture will be thick),Add chicken and cook until browned,add to mixture and blend well,the delay allows the layers to  fuse,Place the bread on a cookie sheet and top with tomato mixture,Remove from pan and cool on wire rack,NOTE:  The Bechamel-egg-ricotta mixture will overflow all but the largest  (professional size) food processors,Now make the  Bechamel Sauce,"F for  one hour, or until a golden-brown crust has formed on top",Back to the eggplant: Rinse well with cold water,"In saucepan, heat mushroom soup and grated cheddar cheese, until cheese melts",Melt butter and Garlic Salt in a frying pan and add the Mushrooms,Lay the plastic wrap on the surface as to prevent a skin from forming,Preheat oven to 350°F,"Melt the butter in 3-quart saucepan over very low heat until foamy, being careful not to brown",Stir ricotta cheese until it is smooth  and creamy,"Place a layer of  eggplant in the pan, following with a layer of tomato mixture","Reduce heat to low and simmer uncovered,  for 30-45 minutes, stirring occasionally, until most of the liquid has evaporated, and the mixture is quite thick","Lightly grease a 16x10 baking pan that is at least 3  inches deep, and sprinkle the bottom with a few breadcrumbs",Pour the Bechamel-ricotta sauce over the top and bake at 300 deg,Remove and discard any excess oil that has risen to the  top of the tomato mixture,,,,,,,,,,,,,,,,,,,,
Tomato Salad,"When boiling, add the salmon steaks, cover, and reduce heat so that the liquid mixture barely bubbles",Marinate 20 minutes at room temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vidalia Onion, Tomato and Basil Salad",Coat well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gado Gado: Indonesian Salad,Pour the peanut sauce over the entire platter and serve,Pour the two cans of broth over the mix and place covered in oven at 350 degrees for 45 minutes or until liquid is absorbed,) Serve with chopped coriander and lime wedges,Bring to boil and simmer covered for 30 minutes,Arrange the green vegetables on a very large platter,Heat peanut sauce on low heat,"Beat together peanut butter, eggs, and water","Bring the water, add salt, cabbage, bean sprouts, and green beans","Cut potatoes, eggs and cucumber into slices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
