Name,step-1,step-2,step-3,step-4,step-5,step-6,step-7,step-8,step-9,step-10,step-11,step-12,step-13,step-14,step-15,step-16,step-17,step-18,step-19,step-20,step-21,step-22,step-23,step-24,step-25,step-26,step-27,step-28,step-29,step-30,step-31,step-32,step-33,step-34,step-35,step-36,step-37,step-38,step-39,step-40,step-41,step-42,step-43,step-44,step-45
Butterflied Lamb with Garlic Butter,"Place lamb in a large shallow dish, drizzle the juice over","Place lamb, fat-side up, over the vegetables in the roasting dish",Slice lamb and serve with the  vegetables,"Drain the excess juices from the pan, bake potatoes and onions in a very hot  oven another 15 minutes or until crisp","Open lamb out flat, place the fat-side down on a board",drizzle with oil,"Combine herbs, rind, garlic,  pepper and butter in a small bowl","Remove the lamb from the dish, cover loosely with foil to keep warm",Place the potatoes and onions in a large  roasting dish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Breasts Saltimbocca,"Combine flour, Parmesan  cheese, salt, sage and pepper in a shallow bowl",Pound chicken breast halves until thin between  two sheets of waxed paper or  foil,Serve  with hot rice,"In a large skillet, heat oil  over medium heat","In a small bowl, dissolve cornstarch in water",Coat chicken rolls in flour  mixture,stir into cooking juices in cooker,Cover and cook on LOW 4 to 5 hours or until chicken is  tender,Turn control to HIGH,Place browned chicken in a slow cooker,Cover and cook on HIGH 10 minutes,Combine soup and wine and pour  over chicken rolls,Place a slice of ham and cheese on each chicken piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueberry Scones,"Turn out onto a lightly floured surface, and knead a few times to mix well",Cut squares in half on the diagonal to form eight triangles,"Place a Silpat baking mat on a baking sheet, and set aside","Using a fork, whisk together cream and egg in a liquid measuring cup",Pat dough into a 6-inch square about 1 1/4 inches thick,Make a well in the center of dry ingredients and pour in cream mixture,Brush tops with cream and sprinkle with sugar,Transfer scones from baking sheet to wire racks to cool,Transfer to prepared baking sheet,Stir in blueberries and zest,"Bake until golden brown, 20 to 22 minutes","Using a floured knife, cut into four 3-inch squares","Adjust rack to center of oven, and heat to 400 degrees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Tomatoes on Provolone Garlic Bread,"Cover bowl and let tomatoes marinate at room temperature for at least 1 hour, but preferably 3-4 hours","Serve bread in shallow bowls, spooning about 3/4 cup of tomatoes and marinade over each slice, garnishing with remaining parmesan","Just before serving, heat up broiler again and toast cheese until bubbly",Stir occasionally to distribute seasonings,"For the bread, combine olive oil and garlic and let mixture stand for about 10 minutes so flavors can mingle",Brush one side of each bread slice with garlic and olive oil mixture and broil them oiled-side up until lightly browned,"Put a slice of provolone and a generous sprinkling of Parmesan on each slice, reserving a little of the parmesan for garnish",Season with salt and pepper,"For the tomatoes, mix tomatoes, scallions, parsley, rosemary, garlic, olive oil and vinegar in a shallow bowl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Cucumber Soup,place in a blender with remaining ingredients,Cut cucumbers into large chunks,Cover and refrigerate for at least 8 hours,pour into bowl,Puree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Curry,"Meanwhile,  toast pappadams","Serve with  basmati rice, and garnish with cashews","Place in a small  bowl, and add turmeric, ginger, cloves, salt, and black pepper","Reduce heat, and add ginger, garlic, and onions","Reduce heat to low, and stir in yogurt and  raisins","Transfer to spice grinder, add  crushed red-pepper flakes, and grind to a powder","Add  chicken, and toss to coat","Raise heat to medium  high, and cook until liquid is reduced, about 15 minutes",Cook until warmed throughout,"Add  tomatoes, chicken stock, and cooked chicken","In a dry skillet over medium heat, toast coriander and cumin  seeds until fragrant, 1 to 2 minutes",cook for 10 minutes,"Cook until  softened and deep-brown in color, 8 to 10 minutes","Add cinnamon  sticks, bay leaf, and cardamom pods",Remove chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appetizers-Easy Stuffed Mushrooms,Wash and dry the mushrooms,"Stir in the bread crumbs, Worcestershire Sauce and seasonings",Mound the stuffing onto the mushroom caps,"Saute until the onion is translucent, stirring occasionally",Remove and chop the stems,Arrange caps on a greased baking sheet,"If you like mushrooms, you will like this!",Melt butter in a 12 inch skillet over medium high heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anzac Biscuits,Melt syrup and butter together,Bake at 150 - 160 C (300-325F) for 20 minutes,"Mix oats, flour, sugar and coconut together",Mix the bicarb with boiling water and add to butter and syrup mixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coconut Chicken Bites,Jan,"Dip chicken bites in the egg, then in the flour mixture",This is good served with an apricot or plum dipping sauce,Turn once during cooking,Heat oven to 400°F,Drizzle with melted butter,"Mix flour, coconut, salt, pepper and garlic powder together",Bake approximately 25 minutes or until the chicken is browned and cooked through,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken-Fried Steak With Cracked Pepper Gravy,"Prepare the batter by mixing the eggs with a whisk, in a large bowl",Season with salt and pepper,"Prepare the flour spice by blending the flour, salt, pepper, and cayenne","When the foam goes down, whisk in the flour","Dip the meat into the batter, and then again in the flour  spice, evenly coating the batter so it is dry on the outside","Slowly add the milk, continuing to whisk to  keep lumps from forming","In a deep, heavy skillet, heat the oil to 350 degrees",Serve hot,Pour Cracker-Pepper Gravy over the steaks and serve,CREAM GRAVY Melt the butter in a heavy saucepan,Hold the cooked steaks in a 225 degree oven until all four are done,Set aside,"Add the cream, and beer","Turn in, taking care not to break  the coating, and cook the meat 5 more minutes, or until the batter is nicely browned","Continually whisk until the flour cooks, becoming a fragrant light brown",Simmer gravy for 10 minutes to cook and reduce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classic Cream Scones,"Using a floured 2 1/2-inch-diameter round   biscuit cutter or a glass, cut out rounds from the dough and place them on   the prepared baking sheet",Lightly butter a baking sheet,"Bake for 13-15 minutes, or until lightly browned","In a small bowl, stir   together the cream, egg, and vanilla","Lightly brush the tops of the scones with the egg mixture,   if desired","Using a   spatula, transfer the scones to the wire rack to cool",Makes about 14 scones,"With lightly floured hands, pat the dough into a 1/2-inch thickness on a   lightly floured cutting board",Serve warm or cool   completely and store in an airtight container,Variation: Add about 1 1/2 teaspoons of grated lemon peel to the dry ingredients,Preheat oven to 425F,"In a large bowl, stir together the flour, sugar, baking powder, and salt",Remove the baking sheet to a wire rack and cool for 5 minutes,Add the cream mixture to the flour   mixture and stir until combines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clam - Lobster Bake,"Serve clambake with plenty of melted butter, lemons, and watermelon",Prepare your favorite clam chowder as an appetizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrus Glazed Barbecued Pork Loin,Add cracked black pepper and deglaze with Worcestershire sauce and orange juice,"Season with hot sauce, lemon juice and to taste with salt",reduce until starts to thicken,Add chipotle and arbol chilies and continue to cook until chiles start to toast,Preheat oven to 350 degrees,In a small saucepot add canola oil and saute onions and garlic until translucent,On a large sheet pan rub the pork loin with olive oil and season with salt and cracked pepper,"Then add in your favorite barbecue sauce, reduce to low heat, and simmer",Remove from oven and let meat set for about 5 minutes,Roast in a 350 degree oven (basting with the citrus glaze about every 15 minutes) until the internal temperature is about 140 degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrus Chicken,"Drain chicken, reserving marinade",Place chicken in plastic bag set in shallow dish,Rinse chicken,Discard any remaining marinade,pat dry,"For marinade, combine lemon, lime, and orange juices, oil,  sugar and oregano in small bowl",Sprinkle with salt and pepper,"Or, broil on unheated rack of broiler pan 4 to 5 inches from heat 12 to 15 minutes, turning once and  brushing occasionally with marinade during first half of cooking",Pour over chicken,"Grill chicken on rack of uncovered grill directly over medium coals  12 to 15 minutes or until tender and no longer pink inside, turning once and brushing  occasionally with marinade during first half of cooking","Marinate in  refrigerator 4 to 24 hours, turning occasionally",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Plum Sauce,"Bring to boil, stirring","stir in sugar, vinegar, coriander, salt, cinnamon, pepper and cloves",Press through food mill or sieve and return to clean pan,"In large heavy saucepan, bring plums, onions, water, ginger and garlic to boil over medium heat",Fill and seal jars,Makes about 4 cups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Cranberry Salad,chill overnight,"Add apples, grapes, walnuts, salt and whipping cream",Chill until ready to serve,Cover marshmallows and cranberries with sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Giblets or Livers,Add wine and simmer gently until cooked,Add the spices and seasonings and stir well,"If you are cooking giblets only, a little water may be added if necessary",Add the chopped onion and garlic,Fry the giblets and/or livers in the olive oil until brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee's Hot Crab Dip,"Bake at 325 degrees Fahrenheit until mixture is bubbly and browned on top, about 30 minutes",Remove cartilage from crab meat,Fold crab meat into cream cheese mixture,Stir in 2 tablespoons of the grated cheese,Add enough milk to make mixture creamy,Top with remaining cheese and paprika,"In a large bowl, mix cream cheese, sour cream, mayonnaise, lemon juice, Worcestershire sauce, dry mustard, and garlic salt until smooth",Pour into greased 1-quart casserole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grilled Avocado Toast,Combine olive oil and garlic,Brush  each slice with oil,Place on a cookie sheet,Return  to broiler for 5 to 10 minutes until avocados begin to blister and brown,Cut bread diagonally into 1/2 inch slices,"Top each slice with tomato, onion, avocado and cheese",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thai Chicken Curry,Simmer 15 minutes,Serve with rice,"Combine cocnut milk, potatoes, nam pla, curry powder, and cloves",Stir  occasionally,Add chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thai Chicken Noodles,"In a wok, heat 1 tablespoon oil and fry chilies 1 minute, until aroma mellows",stir 2 minutes,"Garnish with garlic, shallots, and peanuts",drain,Boil rice vermicelli noodles 2 minutes,Add bean sprouts and basil,toss,"drain, reserving oil",Marinate chicken in wine 30 minutes,Grind red chilies,toss with garlic oil,"add tomato paste, 2 tablespoons sugar, and nam pla",stir-fry 3 minutes,heat through,Add noodles,"In a small skillet, saute garlic and shallots in 3 Tablespoons oil until crisp",Add shrimp,"Add chicken and wine, and sliced Chinese mushrooms",,,,,,,,,,,,,,,,,,,,,,,,,,,
Twice-Baked Potatoes (Microwave),Spoon into potato shells,"Garnish with additional chopped green onion, if desired","Add milk, salt and pepper",Pierce well-scrubbed potatoes twice,Drain bacon on paper towel,Scoop out center,"Microwave at HIGH 10-1/2 to 12-1/2 minutes, or until  just softened, rearranging and turning over after half the cooking  time",Cut potatoes in half lengthwise,Sprinkle with paprika,Place bacon on paper towel lined plate,Arrange on paper towel-lined microwaveable baking sheet,mash until fluffy,"Microwave at HIGH 3 to 7 minutes, or until heated, rotating 1/2 turn",Place 1 inch apart on paper towel in microwave oven,Cover with paper towel,"Microwave at HIGH 1-1/2 to 2 minutes, or until butter is melted and onion is tender","Let stand, covered with a bowl, for 5 minutes","Microwave at HIGH 5 to 6 minutes, or until crisp",Place butter and green onion in 2 quart casserole,,,,,,,,,,,,,,,,,,,,,,,,,,
Twice Baked Potatoes,Bake for 30 minutes until puffed and brown,Heat oven to 400 degrees Fahrenheit,Simmer milk and butter until butter melts,"Sprinkle with chives or green onion, remaining cheese and a little paprika",Mash until almost smooth,Place shells on cookie sheet,"Add egg, half of cheese,salt, pepper and nutmeg",prick several times with a fork,Reduce oven heat to 350 degrees Fahrenheit,Freeze the remaining shells for French fries or stuffed potato skins,Pour over potato pulp and mash or beat until almost smooth,"Using a small spoon scoop out pulp into a large bowl, leaving a 1/4 inch thick shell",Remove and cool 15 minutes,Place in oven,Fill shells using about 1/3 cup mixture per shell,Scrub potatoes,bake 50 to 60 minutes until potatoes feel soft when squeezed,Save the best 8 shells,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greek Spinach Triangles,"* To cut calories, you can use butter-flavored cooking spray in place of the  butter",Open package of phyllo pastry,Refrigerate mixture at least 1 hour,"Mix spinach, eggs, onion, cream cheese, pepper and feta cheese together",Cook spinach according to directions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Jimmy Pillows,"After everything is combined, drop 1 large tablespoon per  serving onto ungreased cookie sheet, and bake at 425 degrees for 12 to 15  minutes or until golden brown","In saucepan, combine chicken broth, vegetable oil, Worcestershire sauce,  parsley, season salt, celery seed, red pepper, and tarragon",The reason for letting the flour mixture cool is so that it  doesn't cook  the eggs,Combine beaten eggs and flour mixture thoroughly,Incorporate  crab meat,"Bring to a  boil, incorporate flour until blended",While that is cooling beat eggs to a fluffy  consistency,Once flour and ingredients are  combined set aside to cool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homemade Butter,Serve whole or cut off medallions as needed,Transfer the Butter to a fine sieve and shake 2 or 3 times over the sink  to allow any excess liquid to drain,"While holding the ruler, grab the end of the top  layer of wax paper and slowly pull it toward you","Refit the bowl and blade, turn on the food processor,  and pour the cream through the feed tube","Store it in the refrigerator,  where it has a shelf life of about 1 week","Put the butter in a bowl, cover, and  chill for at least 1 hour before using",Roll the paper around the log and chill,Place the bowl and blade of a food processor into the freezer to chill  for 4 to 5 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homemade Butter II,Refrigerate butter in a  covered container,No harm will be  done if you overwhip this  mixture,"Process  cream until whipped, about 30 seconds","If you prefer salted butter, add 1/8 teaspoon  or less of salt to cream before processing","With a rubber spatula,  gently press butter against sieve to remove excess  moisture",Process 2-3  minutes until butter has formed  and separated from the liquid,Fit the steel knife blade into the work bowl of your food processor,Add water and ice cubes,This makes 1/3 cup butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fish Chowder,Add fish and cook 10 minutes longer,Add milk,Cover and simmer 10 to 15 minutes until vegetables are  tender,Cut cod fillets into bite sized pieces,"Reheat, but do not boil",Melt margarine in large saucepan Cook  onion and celery until onion is tender and translucent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheesy Stuffed Acorn Squash,Rub the cut flesh  with salt and place flesh side down in a baking dish and bake for about 35  minutes,"Stuff with vegetable mixture, top with equal  amounts of grated cheese and return to oven for about 5 minutes",Cut squash in half and remove the seeds,Heat oven to 400°F,Check baking squash with a fork to see if  it glides through the flesh,"While the squash is baking, sauté onion in butter until clear and add  chopped broccoli florets, mushrooms and celery",Sauté about 4 minutes,"Stir in  walnuts and fresh basil, then sprinkle with brown sugar and soy sauce, adjust  seasoning to taste",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oktoberfest Spinach Strudel,"With sharp knife, cut several slits on top to vent steam",Work quickly so that phyllo does not dry out,Cut each roll into six pieces,Place on baking sheet prepared with nonstick spray,Cover with another damp towel while repeating process with last two phyllo sheets and remaining spinach mixture,"Add onion  mixture, bread crumbs, egg white, Parmesan, nutmeg and pepper",Place  two phyllo sheets on a damp towel on work surface,Simmer onion and parsley in stock until tender,Bake at 400 degrees Fahrenheit for 25 to 30 minutes until golden brown,Brush top and sides with skim milk,Cook spinach  according to package directions,Spread half of spinach mixture along (about 1-inch inside) narrow edge of phyllo and roll up jelly-roll-style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinach Phyllo Casserole,Top the casserole with one piece of phyllo pastry,Saute onions in chicken broth until broth has  evaporated,Cut sheets of  phyllo pastry in half,Blend well,Brush  with egg white mixture,Preheat oven to 375 F (190 C),Blend in cheese until melted,Beat 6 egg whites until frothy and blend  into cheese mixture,Stir flour into milk until dissolved,Add to onions and stir  constantly over medium heat until thickened,Remove from heat and stir in spinach,Whisk together remaining egg white and the olive oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potatoes Tapas in Garlic Mayonnaise (Potatoes Aioli),Boil potatoes in salt water until tender,"Fold the potatoes into the sauce gently, season with salt to taste, serve  at room temperature","In a bowl, combine mayonnaise, garlic, and parsley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home-Style Meatballs (Albondigas Caseras),Saute the meatballs in a casserole with olive oil until well browned on all sides,"Add the tomato, wine, broth, salt and pepper","In a bowl, combine the beef, veal, and pork with bread crumbs, 4 cloves of  garlic, the eggs, nutmeg, salt, and pepper",Form into cocktail-size  meatballs,"Add onion, remaining clove of  garlic, and green pepper",Cook until onion is wilted,Cover and simmer for 45 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zucchini Frittatas II,Serve immediately from the pan or transfer to a large round plate or platter,"Cook 10 to 15 minutes, until set","Add remaining 1/2 tablespoon oil to same skillet over medium heat, tilting pan to coat bottom and sides","Add egg-vegetable mixture, spreading evenly",Sprinkle grated cheese on top of frittata if desired and broil  briefly until lightly browned,Season with salt and pepper and remove  from heat,Stir in  sauteed vegetables,Heat 1/2 Tbsp,Cut into 3 wedges,Reduce heat to low and cover pan,"oil in a 10-inch, heavy-bottomed, oven-proof skillet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow Squash Frittata,Saute squash in butter until tender-crisp,"Beat eggs with the grated cheese, Italian seasoning,  salt and pepper",Pour egg mixture over squash,Cook until eggs are cooked and puffy,Slice squash into equal sized rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spaetzle - German,Beat eggs well,Cook until tender (about 15 minutes),add remaining ingredients and beat until the dough  blisters,Toss with melted butter,Drop from the tip of a wet teaspoon into boiling salted water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moussaka,"When the mixture is thick and smooth, remove it from the heat and stir in seasonings",Gently fold it into the Bechamel sauce,"Dredge the eggplant in 1 1/2 cups flour, and saute each in olive oil until it is  brown on both sides","Saute onions in 2 Tbsp oil  and 2 Tbsp butter, over moderate heat, until they are soft and lightly colored  (about 8 minutes)",First make the tomato sauce: peel and mince onions,Remove moussaka from  oven and let it stand undisturbed 20-30 minutes,"Start seasoning the eggplants: peel eggplants and slice vertically, 1/8 to 1/4  inch thick",the delay allows the layers to  fuse,Sprinkle with  breadcrumbs and grated cheese,Stir in beaten eggs until  thoroughly incorporated,NOTE:  The Bechamel-egg-ricotta mixture will overflow all but the largest  (professional size) food processors,Now make the  Bechamel Sauce,"F for  one hour, or until a golden-brown crust has formed on top",Back to the eggplant: Rinse well with cold water,Sprinkle lightly with salt and let sit for 30 minutes,squeeze gently and pat dry,"Add the milk slowly, whipping with a wire whisk",Repeat as many times as you have eggplant to  last,"Melt the butter in 3-quart saucepan over very low heat until foamy, being careful not to brown",Stir ricotta cheese until it is smooth  and creamy,"Place a layer of  eggplant in the pan, following with a layer of tomato mixture","Reduce heat to low and simmer uncovered,  for 30-45 minutes, stirring occasionally, until most of the liquid has evaporated, and the mixture is quite thick","Lightly grease a 16x10 baking pan that is at least 3  inches deep, and sprinkle the bottom with a few breadcrumbs",Pour the Bechamel-ricotta sauce over the top and bake at 300 deg,Remove and discard any excess oil that has risen to the  top of the tomato mixture,,,,,,,,,,,,,,,,,,,,
Tomato Salad,"Mix tomatoes, corn, green onion, basil, parsley, balsamic vinegar, salt and pepper and honey mustard together",Marinate 20 minutes at room temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vidalia Onion, Tomato and Basil Salad",Mix all ingredients together and let marinate 20 minutes at room temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gado Gado: Indonesian Salad,Pour the peanut sauce over the entire platter and serve,We put the Gado Gado in a large casserole dish,Boil vegetables for 5 minutes,"Cover them with the sliced potatoes, eggs and cucumbers",Arrange the green vegetables on a very large platter,Heat peanut sauce on low heat,Boil potatoes in a separate pot until tender then peel them,"Bring the water, add salt, cabbage, bean sprouts, and green beans","Cut potatoes, eggs and cucumber into slices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greek Lemon Potatoes,Finally sprinkle with the chopped  parsley,Preheat the oven to 200C/400F/Gas 6.,Cut the potatoes into bite sized  chunks and put them in a large ovenproof dish,Stir every now and then during  cooking to coat with the herby oil,Stir well,"Add the olive oil, lemon  rind and juice, water, garlic, bay leaves, rosemary, thyme, oregano,  sugar, salt and pepper",Bake the potatoes for 1-1 1/4 hours or  until they are cooked through and crispy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
